ZFER,RECHAZO
700028433,0
700028433,0
700028433,0
700028433,0
700028433,0
700028433,0
700028433,0
700028433,0
700028433,0
700028433,0
700028433,0
700028433,0
700028433,0
700028433,0
700028433,0
700028433,0
700028433,0
700028433,0
700028433,0
700028433,0
700028433,0
700028433,0
700028433,0
700028433,0
700029616,0
700029616,0
700029616,0
700029616,0
700029616,0
700029616,0
700029616,0
700029616,0
700029616,0
700029616,0
700029616,0
700029616,0
700029616,0
700029616,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700018082,0
700044921,0
700057620,0
700058035,0
700058035,0
700044924,0
700044924,0
700044924,0
700044924,0
700044924,0
700044924,0
700044927,0
700049740,0
700049740,0
700009669,0
700009669,0
700009669,0
700009669,0
700018060,0
700018060,0
700018060,0
700018060,0
700018060,0
700018060,0
700018060,0
700018060,0
700018060,0
700018060,0
700044158,0
700044158,0
700019419,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700019744,0
700059829,0
700059829,0
700057561,0
700057561,0
700057561,0
700070271,0
700070271,0
700070271,0
700070271,0
700070271,0
700070271,0
700070271,0
700070271,0
700070271,0
700070271,0
700070271,0
700070271,0
700070271,0
700070271,0
700070271,0
700070271,0
700070271,0
700070271,0
700070271,0
700070271,0
700059184,0
700070167,0
700070167,0
700070167,0
700000146,0
700000147,0
700057612,0
700057612,0
700057612,0
700057612,0
700057612,0
700057612,0
700060958,0
700060958,0
700060958,0
700060958,0
700060958,0
700060958,0
700060958,0
700060958,0
700060958,0
700060958,0
700060958,0
700060958,0
700060958,0
700060958,0
700025908,0
700025908,0
700040730,0
700040730,0
700040730,0
700040730,0
700040730,0
700040730,0
700040730,0
700040730,0
700040730,0
700040730,0
700040730,0
700040730,0
